4809	君の気付いていない問題がある。	782346	Ada masalah yang tidak kamu lihat.
5121	値段が高すぎる！	886042	Harganya terlalu mahal!
75556	そうじゃない。性差別やら女性蔑視やら、そういうものとは関係なく、男と女は違うんだ。	337193	Bukan itu maksud saya. Sex diskriminasi, diskriminasi perempuan, benar-benar selain itu, pria dan wanita berbeda.
75641	富士山に登った後で一首浮かんだ。	779163	Setelah mendaki Gunung Fuji, saya mendapat inspirasi menulis puisi.
76236	牛乳の流れを素早く止め、牛乳が固まるまで約３０分間静置する。	3252090	Air kucuran susu bisa dengan cepat berhenti. Sampai air susu bisa memadat, perlu dibiarkan kira-kira 30 menit.
77876	良い辞書無しで済ます事は出来ない。	928959	Kamu tak akan bisa menyelesaikan tanpa kamus yang bagus.
79531	約束は約束。	781617	Janji adalah janji.
79651	野球の試合に行く前に夕食を食べよう。	928901	Mari makan malam sebelum ke pertandingan baseball.
79833	問題は教育の目的というよりも教育をどう行うかである。	331355	Masalahnya bukan pada tujuan pendidikan tapi lebih kepada pelaksanaannya.
79834	問題は我々が十分なお金を持っていないことだ。	331356	Masalahnya adalah kita tidak punya cukup uang.
79878	戻ってハンドバッグを取ってくるわ。	3369248	Saya akan kembali mengambil tas tangan.
80078	木陰は涼しかった。	929104	Sejuk di bawah pohon.
80349	明日雨が降るかどうかわからない。	1324884	Saya tidak tahu apakah besok hujan atau tidak.
81103	万事具合がいい。	3369241	Semua baik-baik saja.
81788	僕は彼は馬鹿だと思う。	3369216	Saya rasa dia bodoh.
82043	僕はどっちでも結構です。	928893	Bagi saya, yang mana pun tak masalah.
82186	僕の探しているのはそんなんじゃない。	1019578	Bukan itu yang aku cari.
82238	僕の家は海に面している。	1019637	Rumahku menghadap ke laut.
82656	法律を守る事はとても大切である。	331478	Penting sekali mematuhi peraturan.
82660	法律は守らなければならない。	331477	Kita harus taat peraturan.
82661	法律はすべての市民に税を払うように義務づけている。	331480	Peraturan mengharuskan setiap warga negara membayar pajak.
82662	法律は、すべての人は平等だと言っている。	331481	Peraturan mengatakan bahwa setiap warga negara sama.
83077	母はケーキを作っている。	913771	Ibu saya sedang membuat kue.
83505	米価は政府によって統制されている。	928951	Harga beras diatur pemerintah.
84571	父は最近日本に帰ってきた。	1019718	Ayah baru saja kembali pulang ke Jepang.
84593	父は古代史に関心を持っている。	940017	Ayah saya sangat tertarik dengan sejarah purbakala.
84834	父と私の葛藤に、彼は気付いていないようです。	782348	Dia sepertinya tidak menyadari adanya masalah antara saya dan ayah saya.
85028	付いて行ってもいいですか。	782331	Boleh saya pergi denganmu?
85473	必ず時間通りに来なさい。	3369242	Datanglah pada waktu yang tepat.
85691	飛行機の速度はヘリコプターのそれよりはるかに速い。	331554	Kecepatan pesawat jauh lebih tinggi daripada helikopter.
85692	飛行機の席は予約しましたか。	331555	Sudah pesan tempat di pesawat?
85693	飛行機の時間が遅れてるらしい。	331556	Sepertinya pesawat terlambat.
85694	飛行機の姿は見えなくなった。	331557	Pesawat itu sudah tak tampak.
85695	飛行機の音も聞こえたわ。	331558	Suara pesawat pun terdengar.
85696	飛行機のおかげで１時間で大阪から東京まで行くことが出来る。	331559	Berkat pesawat, perjalanan dari Osaka ke Tokyo dapat ditempuh dalam 1 jam.
85697	飛行機のおかげで、人は早く、長い距離を旅行できる。	331560	Berkat pesawat, orang dapat melakukan perjalanan jarak jauh dengan cepat.
85698	飛行機のおかげで、私たちは２、３日で世界一周ができる。	331561	Berkat pesawat, kita dapat mengelilingi dunia dalam 2, 3 hari.
85699	飛行機のエンジンの一つが止まってしまった。	331562	Salah satu mesin pesawat mati.
85700	佐藤さんは無事に飛行機に乗った。	331563	Pak Sato telah naik pesawat dengan selamat.
85701	飛行機に乗るのはこれが２度目です。	331564	Ini adalah kali ke-2 naik pesawat.
85702	飛行機に乗り遅れましたが、次のにのれますか。	331565	Saya tertinggal pesawat, bisa naik penerbangan berikutnya?
85703	飛行機に乗り遅れないように私は空港へ急いだ。	331566	Agar tak tertinggal pesawat, saya bergegas ke bandara.
85704	飛行機に乗り遅れたくないんだ。	331567	Saya tak ingin tertinggal pesawat.
85705	飛行機に乗ったのはそれが初めてでした。	331568	Ini adalah pertama kali saya naik pesawat.
85706	飛行機には１５０名の乗客が乗っていた。	331569	Sebanyak 150 penumpang naik pesawat.
85707	飛行機で旅行するのは嫌い。	331570	Saya tak suka bepergian naik pesawat.
85708	飛行機で旅行した事がありますか。	331571	Pernah bepergian naik pesawat?
85709	飛行機で行けば一日でロンドンへ行ける。	331572	Dengan naik pesawat, ke London bisa hanya 1 hari.
85710	飛行機で行くのですか、それとも電車ですか。	331573	Naik pesawat atau kereta?
85711	飛行機で行くのが旅行に行くのに一番速い。	331574	Bepergian naik pesawat adalah paling cepat.
85713	飛行機で行くと高くつくわよ。	331575	Kalau naik pesawat lebih mahal lho!
85714	飛行機で行くとどれくらいかかりますか。	331576	Bepergian naik pesawat berapa ongkosnya?
85715	飛行機で沖縄に行くのにどれくらい時間がかかるの。	331577	Bepergian ke Okinawa naik pesawat berapa lama?
85798	費用は最低一万円です。	779084	Biayanya paling tidak 10000 yen.
86511	彼女は目を丸くして見つめた。	1019413	Ia menatapku dengan mata membelalak.
86748	彼女は母親を心から愛していた。	1324891	Perempuan itu sangat mencintai ibunya.
87606	彼女は入試を控えて神経質になっていた。	788231	Dia gugup sebelum ujian masuk.
87832	彼女は鶏肉を買った。	331350	Perempuan itu membeli daging ayam.
87833	彼女は鳥や花が大好きです。	331351	Perempuan itu suka burung atau bunga.
87836	彼女は長旅に耐えられるか。	331353	Apakah dia tahan melakukan perjalanan jauh?
88023	彼女は大学卒業後まもなく結婚した。	777174	Dia segera menikah setelah lulus kuliah.
88436	彼女は水泳では彼ら全員より優れている。	928947	Diantara yang lainnya, ia yang paling jago berenang.
88481	彼女は身をかがめて小石を拾い上げた。	928906	Ia membungkukkan badan lalu memungut batu kecil.
88975	彼女は自分の分析が正しいと言い張る。	774847	Dia ngotot mengatakan bahwa analisanya tepat.
89489	彼女は私に小さいおもちゃを買ってくれた。	1019401	Dia membelikan aku sebuah mainan kecil.
90485	彼女は強い性格の女性だ。	778112	Dia adalah wanita dengan kepribadian yang kuat.
90634	彼女は丸顔です。	1019428	Ia memiliki wajah bulat.
91051	彼女は英語とフランス語を流暢に話す。	940419	Dia pandai berbahasa Inggris dan Perancis.
91943	彼女はとても賢い人だ。	3369245	Ia memang bijaksana.
92933	彼女は来るかもしれない。	1209990	Saya tidak yakin, tapi dia mungkin datang.
93833	彼女の話では彼は来ないそうだ。	638762	Dia tidak datang, katanya.
93833	彼女の話では彼は来ないそうだ。	638763	Pria itu tidak datang kata perempuan itu.
94251	彼女の深い悲しみは涙になって表れた。	1325016	Lukanya yang dalam tampak dalam air matanya.
95215	彼女が部屋に帰ってみると、ダイヤの指輪は消えていた。	776017	Ketika dia kembali ke kamarnya, cincin berliannya telah hilang.
95330	彼女が心に描いていた幸せのすべてが一瞬のうちに消えてしまった。	776016	Semua bayangan kebahagiaannya hilang begitu saja dalam waktu singkat.
95438	彼女が言ったことを覚えてる？	1019404	Apakah kamu ingat apa yang dia katakan?
95592	彼女はなぜそんなに心配しているのかしら。	1325009	Kenapa dia begitu khawatir ya?
95900	彼を見るといつでもつい同情してしまうんです。	929157	Saya selalu ada simpati begitu melihat dirinya.
95930	彼をよく見張れよ。	921978	Tetap awasi dia.
96069	彼らは予定通りその計画を終えた。	788230	Mereka menyelesaikan proyek itu sesuai dengan jadwal.
97349	彼らは泣きそうな顔をしていた。	928888	Mereka tampak seperti akan menangis.
98587	彼らのうち何人が戻ってきたか、わかっていない。	1372424	Seberapa banyak yang bertahan hidup, tidak diketahui.
98987	彼は両親から経済的に独立している。	929084	Ia mandiri secara ekonomi dari orang tuanya.
99706	彼は無実だと信じられている。	986154	Dia dipercayai tidak bersalah.
100009	彼は忘れっぽくなっていて、そのことでとても悩んだ。	940423	Dia menjadi pelupa, dan hal itu mengkhawatirkannya.
100569	彼は病気なのかもしれない。	3369253	Mungkin dia sedang sakit.
100628	彼は必死に逃げた。	776020	Dia lari menyelamatkan diri.
100744	彼は秘書にその手紙を英語に翻訳させた。	940418	Dia menyuruh sekretaris untuk menterjemahkan surat itu ke dalam bahasa Inggris.
101403	彼は入試に合格するために熱心に勉強しています。	788234	Dia belajar keras agar dapat lulus di ujian masuk.
101406	彼は入試に合格しそうだ。	788233	Dia nampaknya akan lulus pada ujian masuk itu.
102889	彼は素早くフランス語を習得した。	3252078	Dia belajar bahasa Prancis dengan cepat.
103743	彼は新聞を配達している。	781595	Dia mengantar koran.
104559	彼は若い頃音楽家だったといううわさだ。	774778	Mereka mengatakan bahwa dia adalah musisi ketika masih muda.
104793	彼は自分自身の過失に気付いていない。	782349	Dia tidak menyadari kesalahannya.
105285	彼は時々私たちに食事を作ってくれます。	3369240	Dia sering membuatkan kami makan siang.
106141	彼は私にもう一度挑戦するようにと励ましてくれた。	778175	Dia menyemangati saya untuk mencoba lagi.
106344	彼は私たちに「すぐ出発しなさい」と言った。	929164	"Cepatlah berangkat!" ia berujar padaku.
107568	彼は言葉少ないが、必ず約束を守る人です。	863484	Dia orang yang tidak banyak berbicara, tapi selalu menepati janjinya.
108448	彼は求めなければ話さない。	1937829	Dia tidak akan berbicara selama tidak diminta.
108448	彼は求めなければ話さない。	1937830	Kalau nggak diminta, dia nggak bakal ngomong.
108479	彼は急いで英国から帰国した。	1117590	Dia buru-buru pulang dari Inggris.
109003	彼は海軍を退役してみると陸上の生活に適応するのが難しいことがわかった。	929095	Begitu mencoba menanggalkan posisi di angkatan laut, ia merasa kesulitan beradaptasi dengan kehidupan di daratan.
109336	彼は何十冊も英語の本を持っている。	1117600	Dia memiliki beberapa puluh buku berbahasa Inggris.
110166	彼は以前はタバコを吸っていたが、今は吸わない。	928885	Dulunya ia merokok tetapi sekarang tidak lagi.
110548	彼はもっと給料を上げてくれと要求した。	928932	Ia meminta supaya gajinya dinaikkan lagi.
110785	彼はまったくユーモアのセンスに欠けている。	928941	Ia benar-benar punya selera humor yang rendah.
110802	彼はまだ来ない。バスに乗り遅れたに違いない。	940034	Dia belum datang juga. Dia pasti ketinggalan bis.
111427	彼はなぜそんなことをしたのか。	1937827	Mengapa dia melakukannya?
111462	彼はどんなに一生懸命に挑戦しても成功しないだろう。	778174	Seberapa pun kerasnya dia mencoba, dia tidak akan berhasil.
112110	彼はたいした教師ではない。	940417	Dia kurang cocok menjadi guru.
112620	彼はその新しい計画に抗議した。	1505057	Dia menolak rencana baru itu.
113071	彼はその火事で焼け死んだ。	1019568	Ia mati terbakar pada kebakaran itu.
113681	彼は転んだときに手を傷つけた。	331437	Tangannya terluka waktu jatuh.
113682	彼はコロラドに大きな農場を持っている。	331438	Dia punya sawah luas di Colorado.
113683	彼はこれ以上歩けない。	331439	Dia tidak dapat berjalan lagi.
113684	彼はこれ以上働けないと分かった。	331440	Saya tahu dia tidak dapat bekerja lagi.
114005	彼はきっと成功するだろう。	366432	Dia pasti berhasil.
114633	彼はいつまでも泣き続けた。	928971	Ia menangis tanpa henti.
115346	彼は「私がそれをする」と独り言を言った。	1509226	Dia berkata pada dirinya sendiri, "Aku pasti bisa."
116221	彼の部屋にはたくさんの本があります。	1019723	Di dalam kamar ini ada banyak buku.
116830	彼の新作の小説をどう思いますか。	779489	Bagaimana pendapat Anda tentang novel barunya?
118367	彼のお母さんは英語の先生だ。	331517	Ibunya guru bahasa Inggris.
118368	彼のお母さんは以前歌手だった。	331518	Ibunya dulu seorang penyanyi.
118369	彼のお母さんはそのことで絶えず愚痴をこぼしています。	331519	Ibunya selalu mengeluh tentang hal itu.
118370	彼のお父さんは彼をトムと呼んでいる。	331520	Ayahnya memanggilnya Tom.
118371	彼のお父さんは今入院中だそうです。	331521	Sepertinya ayahnya sedang masuk rumah sakit.
118372	彼のお父さんは外国にいるそうだ。	331522	Sepertinya ayahnya sedang di luar negeri.
118415	彼のいちだは向かい風のため、余り伸びなかった。	928623	Pukulannya tidak bisa begitu jauh karena ada angin yang melawan arah.
118811	彼には真実を話す勇気がない。	1019406	Dia tidak mempunyai keberanian untuk mengatakan kebenaran.
120293	彼が私たちのチームの選手であればいいのに。	940414	Seandainya dia satu tim dengan kita.
120346	彼が最初に到着した人でした。	3374905	Dia orang pertama yang tiba.
120402	彼が言ったことは決して本当ではない。	924030	Apa yang dia katakan benar-benar kebohongan.
120471	彼が急速に日本語を習得するので私は嬉しかった。	3252060	Saya senang dia bisa belajar bahasa Jepang dengan cepat.
120568	彼が何時着くのかはっきりとは知らない。	863491	Saya tidak tahu pasti kapan dia tiba.
120899	彼がその事を言ったはずがない。	1019438	Ia tidak mungkin mengatakan hal itu.
121524	配達は有料ですか。	781596	Apa ada biaya pengiriman?
122178	日曜日から雨が降り続いている。	929165	Hujan terus turun sejak Ahad.
122203	日本文化を十分に理解するためには、日本語を学ぶべきだ。	3369223	Untuk memahami budaya Jepang secara penuh, anda harus mempelajari bahasa Jepang.
122340	日本語の話せる人を呼んでください。	878279	Tolong panggil seseorang yang mengerti Bahasa Jepang.
122494	日本は海に囲まれている。	1324921	Jepang dikelilingi laut.
122563	日本の地価は法外だ。	331320	Harga tanah di Jepang mahal sekali.
122766	日本では新学期は４月から始まる。	3374958	Tahun ajaran baru di Jepang dimulai pada bulan April.
122849	日替わり定食にしませんか。	1324881	Mau makan makanan spesial?
123490	得やすいものは失いやすい。	787478	Mudah didapat, mudah hilang.
123834	頭を保護するためにはヘルメットをかぶらなくてはいけない。	1324890	Untuk melindungi kepala harus memakai helm.
125099	天気予報では、明日は涼しくなるそうだ。	3374956	Dalam prakiraan cuaca dikatakan besok akan cerah.
125801	鳥は鋭い目をもっている。	773603	Burung memiliki mata yang tajam.
126107	町は年々人口が減少している。	778111	Jumlah penduduk di kota itu semakin tahun semakin berkurang.
126296	駐日英国大使はだれだか知っていますか。	774982	Apakah kamu tahu siapa duta besar Inggris untuk Jepang?
126924	地元のビールの中では、どれがおいしいですか。	776081	Bir lokal apa yang paling enak?
126925	地元のニュースは次に放送されます。	776083	Berikutnya akan ditayangkan berita lokal.
126928	地球的規模の気候の変化が原因で恐竜が絶滅したのかもしれない。	778148	Perubahan iklim global mungkin jadi penyebab punahnya dinosaurus.
127217	男はその老婦人から金品を強奪したことを白状した。	366430	Pria tersebut mengaku bahwa ia merampok wanita tua itu.
127342	誕生日のプレゼントとしてこの自転車をあなたに送ろう。	774978	Saya akan memberi hadiah sepeda di hari ulang tahunmu.
136461	あ〜！！パソコンが壊れた！	1021187	Ah!! Komputernya rusak!
137754	大きく強く成長するためには野菜を食べなさい。	3369260	Makanlah sayur agar tumbuh besar dan kuat.
138528	他人のことを考慮して、たばこは控えて下さい。	929116	Jangan merokok, bertenggang rasalah dengan yang lainnya.
138533	他人のことには口出ししないよう彼に伝えてくれ。	940053	Katakan padanya untuk tidak ikut campur.
140070	息子の失敗は私が責任を負います。	928969	Saya bertanggung jawab atas kegagalan anak saya.
